image_id,category_id,score,bbox_xyxy,bbox_xywh,is_tp,matched_gt_index,best_same_iou,best_any_iou,best_any_class,error_type,file_name,predicted_class,best_any_class_name
562,2,0.8042995929718018,"[0.023603439331054688, 490.89288330078125, 599.7100219726562, 600.0296020507812]","[0.023603439331054688, 490.89288330078125, 599.6864185333252, 109.13671875]",False,,0.38244363581978774,0.38244363581978774,2,localization,Japan_009349.jpg,D20,D20
553,2,0.7228338122367859,"[75.7306137084961, 404.7195129394531, 598.0826416015625, 597.7706298828125]","[75.7306137084961, 404.7195129394531, 522.3520278930664, 193.05111694335938]",False,,0.0,0.8996107079984953,0,class_confusion,Japan_009221.jpg,D20,D00
719,3,0.7118435502052307,"[323.2855529785156, 487.470458984375, 411.9223937988281, 527.5984497070312]","[323.2855529785156, 487.470458984375, 88.6368408203125, 40.12799072265625]",False,,0.0,0.08651031183590403,0,background_or_unlabeled,Japan_011876.jpg,D40,D00
586,0,0.7116925716400146,"[293.79693603515625, 349.5545959472656, 411.2026062011719, 520.4577026367188]","[293.79693603515625, 349.5545959472656, 117.40567016601562, 170.90310668945312]",False,,0.37438701689035503,0.37438701689035503,0,localization,Japan_009908.jpg,D00,D00
388,1,0.7089534401893616,"[256.1094970703125, 425.35205078125, 546.7069091796875, 463.86212158203125]","[256.1094970703125, 425.35205078125, 290.597412109375, 38.51007080078125]",False,,0.27571228662252567,0.27571228662252567,1,localization,Japan_006182.jpg,D10,D10
654,2,0.7027713656425476,"[164.87901306152344, 9.645545959472656, 595.50634765625, 443.6969299316406]","[164.87901306152344, 9.645545959472656, 430.62733459472656, 434.05138397216797]",False,,0.2619038190951354,0.2619038190951354,2,localization,Japan_011058.jpg,D20,D20
41,2,0.6887871623039246,"[268.8917541503906, 336.9232177734375, 488.23077392578125, 475.26483154296875]","[268.8917541503906, 336.9232177734375, 219.33901977539062, 138.34161376953125]",False,,0.43180376193013814,0.43180376193013814,2,localization,Japan_000680.jpg,D20,D20
40,0,0.6885240077972412,"[371.2742919921875, 495.5776062011719, 449.5832214355469, 570.7797241210938]","[371.2742919921875, 495.5776062011719, 78.30892944335938, 75.20211791992188]",False,,0.0,0.01249665233042952,1,background_or_unlabeled,Japan_000671.jpg,D00,D10
490,3,0.6796014904975891,"[218.15078735351562, 427.9314880371094, 276.583740234375, 477.81671142578125]","[218.15078735351562, 427.9314880371094, 58.432952880859375, 49.885223388671875]",False,,0.39900374414347034,0.39900374414347034,3,localization,Japan_007841.jpg,D40,D40
620,3,0.6764543056488037,"[247.68634033203125, 523.8648681640625, 313.9156494140625, 558.7613525390625]","[247.68634033203125, 523.8648681640625, 66.22930908203125, 34.896484375]",False,,0.37415736596214166,0.37415736596214166,3,localization,Japan_010546.jpg,D40,D40
156,2,0.675145149230957,"[46.486759185791016, 91.27349853515625, 596.8594970703125, 488.94110107421875]","[46.486759185791016, 91.27349853515625, 550.3727378845215, 397.6676025390625]",False,,0.34011536774710227,0.34011536774710227,2,localization,Japan_002774.jpg,D20,D20
314,2,0.674679160118103,"[262.6521301269531, 382.8863830566406, 367.8581848144531, 565.1944580078125]","[262.6521301269531, 382.8863830566406, 105.2060546875, 182.30807495117188]",False,,0.0,0.0,1,background_or_unlabeled,Japan_005095.jpg,D20,D10
141,2,0.67389315366745,"[85.25233459472656, 414.9563903808594, 227.38409423828125, 597.548583984375]","[85.25233459472656, 414.9563903808594, 142.1317596435547, 182.59219360351562]",False,,0.4118774919857175,0.4118774919857175,2,localization,Japan_002557.jpg,D20,D20
11,3,0.6716776490211487,"[713.9539794921875, 245.91067504882812, 818.4473876953125, 331.4972839355469]","[713.9539794921875, 245.91067504882812, 104.493408203125, 85.58660888671875]",False,,0.2454775049165873,0.2454775049165873,3,localization,Japan_000129.jpg,D40,D40
300,2,0.66959547996521,"[335.42510986328125, 403.1051940917969, 589.0171508789062, 510.3101501464844]","[335.42510986328125, 403.1051940917969, 253.592041015625, 107.2049560546875]",False,,0.4543093128686238,0.4543093128686238,2,localization,Japan_004792.jpg,D20,D20
619,2,0.6649467349052429,"[5.165987968444824, 332.7869567871094, 194.87486267089844, 587.6660766601562]","[5.165987968444824, 332.7869567871094, 189.7088747024536, 254.87911987304688]",False,,0.3380612667662804,0.3380612667662804,2,localization,Japan_010526.jpg,D20,D20
147,0,0.6643282175064087,"[296.0261535644531, 528.7708740234375, 383.3285827636719, 599.57177734375]","[296.0261535644531, 528.7708740234375, 87.30242919921875, 70.8009033203125]",False,,0.0,0.7893323804887123,2,class_confusion,Japan_002671.jpg,D00,D20
55,3,0.6631972193717957,"[190.07952880859375, 532.8033447265625, 291.88446044921875, 592.9309692382812]","[190.07952880859375, 532.8033447265625, 101.804931640625, 60.12762451171875]",False,,0.30875851338852695,0.30875851338852695,3,localization,Japan_000949.jpg,D40,D40
296,0,0.6610847115516663,"[452.5361633300781, 397.6483459472656, 517.0604248046875, 435.465087890625]","[452.5361633300781, 397.6483459472656, 64.52426147460938, 37.816741943359375]",False,,0.0,0.0,0,background_or_unlabeled,Japan_004767.jpg,D00,D00
740,2,0.6550388336181641,"[398.5288391113281, 356.3553161621094, 597.6311645507812, 599.5927734375]","[398.5288391113281, 356.3553161621094, 199.10232543945312, 243.23745727539062]",False,,0.0,0.9315258716913443,0,class_confusion,Japan_012185.jpg,D20,D00
11,3,0.6488974690437317,"[635.9607543945312, 165.37289428710938, 777.8284301757812, 257.2369689941406]","[635.9607543945312, 165.37289428710938, 141.86767578125, 91.86407470703125]",False,,0.3577224079512966,0.3577224079512966,3,localization,Japan_000129.jpg,D40,D40
505,2,0.6485869288444519,"[324.6512145996094, 389.71746826171875, 538.59033203125, 597.7171020507812]","[324.6512145996094, 389.71746826171875, 213.93911743164062, 207.9996337890625]",False,,0.0,0.4231842028367118,0,localization,Japan_008139.jpg,D20,D00
65,2,0.648118793964386,"[289.982421875, 473.68023681640625, 582.5346069335938, 589.3751831054688]","[289.982421875, 473.68023681640625, 292.55218505859375, 115.6949462890625]",False,,0.43701955155203803,0.43701955155203803,2,localization,Japan_001207.jpg,D20,D20
227,3,0.6467989683151245,"[0.2958526611328125, 163.07888793945312, 96.74543762207031, 389.9387512207031]","[0.2958526611328125, 163.07888793945312, 96.4495849609375, 226.85986328125]",False,,0.0,0.0,3,background_or_unlabeled,Japan_003815.jpg,D40,D40
